ID,Year,CC,Mileage,Price
496,2004,1598,100500,3300
497,2010,1598,110500,5250
498,2006,1598,80500,3750
499,2010,1598,60500,7000
500,2007,1598,100500,5500
501,2003,1598,110500,2890
502,2005,1598,120500,3995
503,2002,1598,80500,2100
504,2005,1598,90500,3500
505,2002,1600,80500,3195
506,2013,1598,10500,11950
507,2002,1598,100500,3099
508,2003,1598,120500,2300
509,2007,1598,80500,4285
510,2009,1560,60500,6800
511,2010,1598,50500,8000
512,2009,1397,70500,5500
513,2002,1598,170500,1950
514,2013,1995,30500,14000
515,2013,1598,20500,13000
516,2005,16,60500,3800
517,2006,1598,100500,3985
518,2002,1598,60500,4500
519,2006,1598,60500,4850
520,2002,1598,120500,2890
521,2006,1598,80500,3595
522,2004,1598,110500,2695
523,2010,1560,60500,7000
524,2012,1598,40500,9995
525,2003,1598,90500,3595
526,2002,1598,90500,2550
527,2005,1598,50500,5495
528,2007,1598,100500,5000
529,2011,1598,40500,3250
530,2004,0,150500,2195
531,2002,1600,140500,1950
532,2003,1598,60500,3695
533,2003,1598,80500,3300
534,2008,1397,80500,5000
535,2003,1598,80500,2850
536,2003,1598,100500,3095
537,2006,1598,90500,4195
538,2008,1598,50500,5750
539,2009,1560,50500,6880
540,2010,1560,80500,9495
541,2012,1598,20500,10995
542,2013,2000,30500,14990
543,2007,1598,120500,4500
544,2004,1598,100500,3990
545,2007,0,40500,5000
546,2002,1598,70500,2990
547,2004,1598,70500,3499
548,2007,1598,60500,8500
549,2012,1995,70500,9470
550,2006,1598,90500,3600
551,2004,1598,100500,3200
552,2010,1598,30500,8600
553,2012,1598,20500,9850
554,2011,1598,50500,9995
555,2002,1598,500,1550
556,2006,1598,100500,3395
557,2005,1600,70500,3500
558,2004,1598,60500,4500
559,2005,1598,130500,3990
560,2008,1598,40500,7995
561,2003,1598,130500,2500
562,2011,1598,40500,8275
563,2011,1598,100500,8291
564,2003,1598,90500,3995
565,2015,1598,10500,18500
566,2013,1598,60500,8275
567,2011,1598,40500,6995
568,2010,1560,80500,5800
569,2014,1496,10500,14500
570,2004,1598,70500,3700
571,2007,1598,70500,7000
572,2004,1598,100500,3200
573,2008,1598,160500,5995
574,2008,1598,60500,5489
575,2008,1560,120500,4790
576,2004,1598,100500,3495
577,2008,1598,90500,6595
578,2002,1598,110500,4290
579,2003,1598,100500,3250
580,2006,1598,130500,2500
581,2013,1598,10500,8979
582,2008,1598,70500,6995
583,2006,1598,70500,4495
584,2013,1598,40500,13000
585,2006,1598,60500,6290
586,2011,1598,50500,7240
587,2003,1598,110500,3495
588,2003,1598,100500,3495
589,2003,1598,80500,3395
590,2007,1598,150500,3249
591,2002,1598,130500,2700
592,2005,1598,90500,4495
593,2013,1598,20500,8679
594,2015,1995,500,23995
595,2008,1397,90500,4999
596,2012,1598,20500,11250
597,2013,1598,50500,8379
598,2001,1598,50500,3499
599,2006,1598,50500,4495
600,2007,1397,70500,5495
601,2003,1598,120500,2295
602,2007,1397,100500,3695
603,2010,1560,110500,5200
604,2004,1598,80500,3700
605,2009,1598,30500,9450
606,2013,1598,20500,9995
607,2008,1560,90500,5995
608,2002,1598,120500,2150
609,2002,1598,120500,2195
610,2005,1600,30500,3850
611,2004,1598,110500,4500
612,2004,1598,90500,4990
613,2006,1598,70500,4295
614,2003,1598,120500,2750
615,2010,1598,70500,7450
616,2006,1598,80500,4995
617,2013,1598,60500,8490
618,2004,1598,140500,2995
619,2004,1598,100500,3695
620,2014,1995,40500,15995
621,2013,1995,60500,11950
622,2004,1598,70500,3695
623,2007,1598,110500,3695
624,2005,1598,100500,3295
625,2011,1598,80500,6689
626,2004,1598,90500,3050
627,2006,1600,500,2395
628,2007,1397,70500,4250
629,2002,1600,50500,2625
630,2012,1600,30500,10800
631,2007,1598,90500,5050
632,2007,1598,80500,6490
633,2002,1598,100500,3099
634,2007,1598,100500,3895
635,2006,1598,90500,3295
636,2010,1598,20500,6750
637,2003,1598,90500,2850
638,2006,16,130500,2750
639,2005,1598,60500,3100
640,2007,1598,30500,3795
641,2003,1598,80500,3995
642,2007,1598,130500,4450
643,2013,1995,10500,12950
644,2011,1598,40500,13250
645,2007,1598,90500,4995
646,2002,1598,110500,1995
647,2007,1598,50500,6675
648,2004,1364,120500,3000
649,2005,1600,70500,6400
650,2007,1598,60500,5000
651,2008,1560,90500,5690
652,2003,1598,120500,1600
653,2013,1598,60500,8995
654,2003,1598,70500,3450
655,2001,1598,60500,3399
656,2005,1600,70500,3795
657,2007,1598,40500,11995
658,2004,1598,80500,3195
659,2011,1598,100500,6990
660,2010,0,50500,6999
661,2002,1598,70500,2990
662,2002,1598,110500,2200
663,2001,1598,70500,2750
664,2004,1598,70500,3499
665,2003,1598,90500,3250
666,2012,1598,50500,8300
